season,alpha,fan_source_mechanism,count_withdraw_as_exit,n_weeks,n_exit_weeks,n_single_exit_weeks,n_multi_exit_weeks,match_rate_percent,match_rate_rank,match_rate_percent_judge_save,match_rate_rank_judge_save,diff_weeks_percent_vs_rank,mean_fan_share_observed,mean_fan_share_pred_percent,mean_fan_share_pred_rank,mean_judge_pct_observed,mean_judge_pct_pred_percent,mean_judge_pct_pred_rank,seed
22,0.5,percent,0,10,7,5,2,1.0,0.7142857142857143,0.6,0.6,2,0.0496157619696002,0.0496157619696002,0.0822231617664831,0.1158111389708551,0.1158111389708551,0.1139703102739556,20260130
23,0.5,percent,0,11,9,8,1,1.0,0.8888888888888888,0.625,0.625,1,0.0512284067822222,0.0512284067822222,0.0697160882248902,0.1283444581623816,0.1283444581623816,0.1268275829253699,20260130
24,0.5,percent,0,10,8,7,1,1.0,0.625,0.4285714285714285,0.7142857142857143,3,0.0520602617769895,0.0520602617769895,0.0987325936576986,0.1300647848884107,0.1300647848884107,0.1248854090633221,20260130
25,0.5,percent,0,10,8,6,2,1.0,0.75,0.5,0.6666666666666666,2,0.0526468650985012,0.0526468650985012,0.074970589906632,0.1323858065104278,0.1323858065104278,0.1297282129021943,20260130
26,0.5,percent,0,4,3,0,3,1.0,0.6666666666666666,,,1,0.0576688704661976,0.0576688704661976,0.0727474881174512,0.1206315107874216,0.1206315107874216,0.1193854048684185,20260130
27,0.5,percent,0,9,7,5,2,1.0,0.5714285714285714,0.0,0.2,3,0.0448809457142912,0.0448809457142912,0.0749023742092769,0.1032367668153869,0.1032367668153869,0.0955586702073323,20260130
28,0.5,percent,0,11,7,7,0,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.7142857142857143,1,0.0512620254785903,0.0504159576393486,0.0607502933836518,0.117028069725388,0.117028069725388,0.1151483704772677,20260130
29,0.5,percent,0,11,9,8,1,1.0,1.0,0.5,0.875,0,0.0427480073772428,0.0427480073772428,0.0427480073772428,0.0901712145470526,0.0901712145470526,0.0901712145470526,20260130
30,0.5,percent,0,10,8,5,3,1.0,0.875,0.6,0.6,1,0.0429606959291154,0.0429606959291154,0.0501276754777517,0.0908820872419553,0.0908820872419553,0.089583385943254,20260130
31,0.5,percent,0,10,9,7,2,1.0,1.0,0.2857142857142857,0.7142857142857143,0,0.0428625291178607,0.0428625291178607,0.0428625291178607,0.0838267208022501,0.0838267208022501,0.0838267208022501,20260130
32,0.5,percent,0,11,9,9,0,1.0,0.7777777777777778,0.2222222222222222,0.2222222222222222,2,0.0423113123001493,0.0423113123001493,0.0574487987183662,0.096251637495734,0.096251637495734,0.0951287060536536,20260130
