outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note
judge_score_pct_mean,ols,C(industry)[T.Politician],-0.01900647705235028,-0.05411045035955149,0.01609749625485093,0.017838979280364382,0.2875222103955965,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Producer],0.027094168545319194,-0.03417351862756451,0.0883618557182029,0.031134737725222437,0.3848673663957788,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Racing Driver],0.009080519351475299,-0.02308277835412845,0.04124381705707905,0.016344599978394915,0.5789168984153954,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Radio Personality],-0.03424652849485061,-0.06678472574810426,-0.001708331241596965,0.016535114744464785,0.039192066192847014,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Singer/Rapper],-0.003508023071361255,-0.013265261330074218,0.0062492151873517095,0.004958389456587605,0.4798043105576702,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Social Media Personality],-0.00883482990103298,-0.03142189471134482,0.013752234909278863,0.011478193013345971,0.44207415731048866,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Social media personality],0.007403942057751629,-0.024191966324054872,0.03899985043955813,0.016056266623576565,0.6450399250010304,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.Sports Broadcaster],0.027868374928083563,-0.033446933323873405,0.08918368318004052,0.03115893759101718,0.37182086984403684,421,1,judge_line
judge_score_pct_mean,ols,C(industry)[T.TV Personality],-0.010371796249319255,-0.02001485956832072,-0.0007287329303177891,0.004900368549209794,0.03511446831509545,421,1,judge_line
judge_score_pct_mean,ols,age,-0.0016453860856329911,-0.002933742052825841,-0.0003570301184401413,0.000654710941219077,0.012484692557313371,421,1,judge_line
judge_score_pct_mean,ols,age_sq,6.691011348318991e-06,-8.02225905895263e-06,2.1404281755590613e-05,7.476923584826051e-06,0.37155712201157437,421,1,judge_line
judge_score_pct_mean,ols,is_us,0.05671219953178764,-0.0024488536713826448,0.11587325273495792,0.03006419794876584,0.06020123988399555,421,1,judge_line
judge_score_pct_mean,ols,log_state_pop,-0.0035526259363763218,-0.007119848409176219,1.459653642357523e-05,0.0018127750731759297,0.05093885844041198,421,1,judge_line
fan_vote_index_mean,ols,C(industry)[T.Astronaut],0.025336435416777173,-1.3796097530754334,1.215152841013327,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Athlete],-0.08678108619277171,-0.2460276596574018,0.07020015686001742,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Beauty Pagent],-0.48216961299258654,-1.0966801807473199,0.04728290065120696,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Comedian],-0.19277399395980088,-0.5899645758934134,0.20981017118551548,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Con artist],-0.4325344244623825,-1.0889248717069866,0.3004274132693752,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Conservationist],0.14355894972362473,-0.23283543654814745,0.5019764891536952,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Entrepreneur],-0.005141730035270714,-0.5351516125476853,0.6734941248519675,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Fashion Designer],0.03206982168581424,-1.4379840910423383,1.1168748641014516,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Fitness Instructor],0.34978182147431863,-0.35156056898827304,1.045762550155627,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Journalist],-0.15464189821017893,-1.7934776771975074,1.5530995165474295,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Magician],-0.7126344710982748,-2.1733566025309567,0.5241580826049989,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Military],0.3546841392232418,-0.4377666520425153,1.0735761758596463,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Model],-0.429204314539825,-0.7906857510125109,-0.05039998253098063,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Motivational Speaker],0.39519717027538404,-0.3467545878291552,1.0850069221092102,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Musician],0.5543141781874649,-0.14326726509600204,1.3904302927552281,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.News Anchor],-0.19344476517109893,-0.7098214396799442,0.4554135305210906,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Politician],-0.08824668705312691,-0.6971708815238805,0.564548066406486,,,421,200,fan_line_posterior_refit
fan_vote_index_mean,ols,C(industry)[T.Producer],0.3507160356535423,-0.46669262324360744,1.0984606219084228,,,421,200,fan_line_posterior_refit
